date,amount,category,description
04-09-2024,4957.42,Income,Sports
30-09-2024,4071.93,Income,Salary
01-09-2024,990.91,Income,Sports
29-09-2024,1632.76,Expense,Utilities
28-09-2024,2986.26,Income,Salary
08-09-2024,1165.19,Expense,Entertainment
13-09-2024,2765.63,Income,Bonus
18-09-2024,4482.03,Income,Sports
10-09-2024,2307.35,Income,Freelance Project
12-09-2024,1911.27,Expense,Rent
09-09-2024,655.49,Income,Side Gig
07-09-2024,838.97,Expense,Travel
23-09-2024,2166.0,Income,Freelance Project
17-09-2024,2968.0,Income,Freelance Project
05-09-2024,3578.57,Income,Salary
21-09-2024,1131.53,Expense,Entertainment
07-09-2024,779.8,Income,Sports
22-09-2024,4872.22,Income,Sports
27-09-2024,1177.23,Income,Side Gig
17-09-2024,553.4,Expense,Entertainment
10-09-2024,2153.92,Income,Bonus
20-09-2024,1730.5,Income,Investment
15-09-2024,360.62,Expense,Travel
21-09-2024,3612.89,Income,Sports
13-09-2024,2833.59,Income,Sports
11-09-2024,3765.9,Income,Sports
09-09-2024,2486.98,Income,Side Gig
24-09-2024,1588.19,Expense,Dining Out
11-09-2024,4230.59,Income,Freelance Project
24-09-2024,598.79,Expense,Rent
